карменсита	1
давай	182 247645 269389 269389 320052 920473 1235547 1619277 1710417 1803151 1832398 2378794 3655682 3699372 4055120 5143830 5297974 5714320 7628458
бар	184 200550 379298 829193 1682246 2328821 2352488
крипплкрике	184
мельник	208
трубочист	208
луна	211 70510 103898 104779 109417 111403 115610 117070 120883 347449 354681 449619 783328 798435 1052040 1182345 1623745 1846055 1957945 3342768 4441098 4944352
всего	211 245479 347332 1433905 1646111 1777551 1830783 1830784 3918584 4163224 4460176 4645368 4878612 7197166 7218812 7747892
лишь	211 245479 316829 950655 977224 1560957 1753995 4486986 4645368
метре	211
дело	218 2983 47979 50303 89882 93255 97022 101606 107798 113501 113691 115744 116275 116661 120609 186655 206305 217119 269095 288276 304394 410520 429032
дрейфуса	218
золушка	230 3772 42332 114996 128996 168269 291082 357338 465940 845442 910852 997111 1661199 3161248 3487424 5764414 7060344
огня	235 107206 115647 122603 205065 222943 253556 267657 317234 330373 1275861 3061534 3524812 3568804 3704416 4390222 4838316
дьявол	242 55904 104155 104155 108645 112857 119577 143213 185431 194946 225504 263265 350232 381505 436231 447238 458352 463960 775544 912580 1314655 1620935 2076897
монастыре	242
импрессионист	246
конца	246 76770 272575 388285 912593 1349482 1440741 1878805 2412746 3316832 3572132 3791216 4157486 4827986
века	246 110694 138537 151987 177746 186726 246866 319702 319829 368711 478337 765450 795927 1063023 1067920 1155705 1181919 1181920 1292652 1336608 1422122 1830158 1893326
король	247 1378 8161 100963 103792 107321 110357 110357 110463 115491 115669 118570 120131 120767 134969 140796 160429 160672 161220 165581 166485 177888 182728
джон	247 102138 174666 219105 229900 251160 277050 320038 401729 439774 455967 472027 814164 989757 1124348 1276105 1418754 1560164 1783732 2246779 2911666 2945784 3219194
поцелуй	248 6617 102220 103843 104428 112604 113117 113552 116783 116908 118138 118783 119465 119467 120100 120723 127629 137386 138541 139738 158011 203625 229625
тоннеле	248 5882970
что	272 1973 56687 59903 66445 68555 86197 107225 107292 108327 108550 108551 111689 113909 114728 115039 116242 117887 117991 118453 119345 120498 130018
видно	272
телескоп	272 1433813
нападение	273 80391 116390 398712 443334 450326 1579223 1876349 2098627 2368553 3139086 4685096 6299040
миссию	273
китае	273 105839 108592 142181 285566 4629266
очарованный	300 851532
рисунок	300
бабушкина	304 222762
лупа	304
каково	309 120303
это	309 621 6764 25316 57193 72955 78923 78923 88258 104014 105577 107233 108181 110392 111408 113443 113638 114031 118001 119577 120318 120471 122933
когда	309 6349 10879 55051 77815 104798 108555 108556 111693 112281 113918 114916 117416 118147 135706 182251 200282 209085 209229 219862 220157 227194 260332
тебя	309 103484 104798 104963 110076 116242 116592 116592 119347 120135 120151 143296 239060 255212 263725 275415 277050 290326 308347 342751 388125 395171 401711
переехали	309
позволь	313 1027091 2165933
мне	313 58361 71249 105815 107175 109287 110091 116238 118586 120083 122459 135553 150662 247911 261182 302447 323807 328998 383788 429412 477323 809497 819796
снова	313 104534 106292 106682 106827 108556 109195 117692 183503 183505 202198 246641 269604 318155 321359 334965 337579 374546 385891 424279 769507 942378 974661
помечтать	313
другая	346 69049 117817 123209 301524 393567 402417 452304 453383 478361 1496703 1549572 1606829 1695136 1817191 1843866 2106671 2203939 2788556 3083886 4023272 4102328 4277124
работа	346 5489 6313 117883 120654 209933 309377 386124 425326 890882 912343 1562567 1593756 1645080 2008305 2222838 2964120 3784336 3959576 4137324 4420702 4522034 4623456
для	346 840 1072 2844 8979 11716 46359 59655 81874 92934 102043 103856 103994 104621 105287 106327 106449 107169 107554 110076 110263 110686 112711
андертэйкера	346
соотечественник	350
впервые	350 119127 7044010
смотрит	350 3810810 3810810
движущиеся	350 1737 9608 1226777 1695824
картинки	350 1737 1226777 1592855 2715446 4255526 7538726
пожар	355 1440131 1727790 1781784 1811321 3029558 3629782 5076792
лавка	357 7162 174917 334649 396701 457419
привидениями	357 553 87332 90506 97428 121932 229900 278475 338094 439576 1213033 1230164 1289401 3613212 4974584 5512658
история	358 32825 32904 54212 65955 66011 72372 76770 79956 82719 85334 88323 90633 96216 102293 102313 102932 103743 103882 103962 104558 106267 106475
одного	358 54803 106716 156323 163318 209189 368530 368574 396171 450405 479354 486751 1690368 3246212 4140948 6108394 6276266 6537238 8193598 8289028 8320378
преступления	358 102340 110115 247082 257756 265709 292785 313043 395843 414923 415833 470993 1009019 1206478 1748888 1795096 1936532 2504308 3854234 4066298 4123430 5717492
чeловек	359 103905 107132 107501 110971 120483 125664 206917 243133 301414 311519 319803 367859 415127 417340 419939 427312 483726 1187041 1527788 1639901 1774319 2027178
резиновой	359
головой	359 138487 347048 1785471
скрудж	370
или	370 2199 11223 12512 46056 57012 58022 58275 60584 73179 101095 103409 103814 103856 104092 104962 105477 105997 106110 106693 107494 108379 108697
призрак	370 71994 96436 107009 108937 110897 113271 113568 116409 119889 171363 196931 214529 239381 293508 341266 346314 347246 395706 428646 429573 460897 810089
марли	370 822832 1183919 1704614 5061560
мисс	384 9380 12465 103078 104882 112895 119679 212346 304333 385307 395669 449059 482546 876235 970468 1129427 1151922 1322346 1555126 1629715 1734537 1767372 1784538
данди	384 59418 90555 231402 7895824
е	384 1660 91167 97108 100263 119280 156248 187512 218733 475612 484855 829459 1541935 1650407 1824904 1826071 1850418 2334871 2933632 3446082 3576842 3990618 4621016
дрессированные	384
коронация	387 229700
эдуарда	387
vii	387 115755 337636 453339 453339 489134 2049421
джек	399 108967 110353 113448 113449 116669 127516 141109 171410 207889 264262 275849 278238 331527 363668 375862 410997 475252 790724 816539 850677 851430 1069207
стебель	399 1079968
фасоли	399
снос	410
возведение	410
звездного	410
театра	410 313098
сокровища	413 40897 86333 110419 166973 478855 1229370 1370439 1456779 1504443 2572764 2572764 3124476 3596216 6980988 8016764 8657914
сатаны	413 11000 203088 380687 847886 1666168 2108467 5769458 6184934 7076834
дядя	414 118025 271748 288275 416979 1792149 2339608 2546866 3042608 3219194 5016444 6667080 7334528 8615840
джош	414 107277 363328 492878 1249300
киносеансе	414
